2, 4: T = 3.44223, lam = 0.669763, i0 = 2, j0 = 5, i1 = 3, j1 = 4
2, 5: T = 3, i0 = 3, j0 = 5
2, 6: T = 3.44223, lam = 0.330237, i0 = 3, j0 = 6, i1 = 2, j1 = 5
2, 7: T = 4.04804, lam = 0.432285, i0 = 3, j0 = 7, i1 = 2, j1 = 6
2, 8: T = 4.75515, lam = 0.5, i0 = 3, j0 = 8, i1 = 2, j1 = 7
2, 9: T = 5.53002, lam = 0.550731, i0 = 3, j0 = 9, i1 = 2, j1 = 8
2, 10: T = 6.35238, lam = 0.591055, i0 = 3, j0 = 10, i1 = 2, j1 = 9
2, 11: T = 7.20916, lam = 0.624264, i0 = 3, j0 = 11, i1 = 2, j1 = 10
2, 12: T = 8.09159, lam = 0.652274, i0 = 3, j0 = 12, i1 = 2, j1 = 11
2, 13: T = 8.9936, lam = 0.676309, i0 = 3, j0 = 13, i1 = 2, j1 = 12
2, 14: T = 9.89629, lam = 0.677191, i0 = 3, j0 = 14, i1 = 2, j1 = 13
2, 15: T = 10.3778, lam = 0.354597, i0 = 3, j0 = 15, i1 = 2, j1 = 14
2, 16: T = 9.91084, lam = 0.697209, i0 = 2, j0 = 17, i1 = 3, j1 = 16
2, 17: T = 9.51249, lam = 0.75384, i0 = 2, j0 = 18, i1 = 3, j1 = 17
2, 18: T = 9.20208, lam = 0.828954, i0 = 2, j0 = 19, i1 = 3, j1 = 18
2, 19: T = 9, i0 = 3, j0 = 19
2, 20: T = 9.20208, lam = 0.171046, i0 = 3, j0 = 20, i1 = 2, j1 = 19
2, 21: T = 9.51249, lam = 0.24616, i0 = 3, j0 = 21, i1 = 2, j1 = 20
2, 22: T = 9.91084, lam = 0.302791, i0 = 3, j0 = 22, i1 = 2, j1 = 21
2, 23: T = 10.3829, lam = 0.348759, i0 = 3, j0 = 23, i1 = 2, j1 = 22
2, 24: T = 10.9176, lam = 0.387501, i0 = 3, j0 = 24, i1 = 2, j1 = 23
2, 25: T = 11.5056, lam = 0.420952, i0 = 3, j0 = 25, i1 = 2, j1 = 24
2, 26: T = 12.1393, lam = 0.450337, i0 = 3, j0 = 26, i1 = 2, j1 = 25
2, 27: T = 12.8125, lam = 0.476488, i0 = 3, j0 = 27, i1 = 2, j1 = 26
2, 28: T = 13.5196, lam = 0.5, i0 = 3, j0 = 28, i1 = 2, j1 = 27
2, 29: T = 14.2561, lam = 0.521313, i0 = 3, j0 = 29, i1 = 2, j1 = 28
2, 30: T = 15.0184, lam = 0.540763, i0 = 3, j0 = 30, i1 = 2, j1 = 29
3, 0: T = 5.7834, lam = 0.344151, i0 = 3, j0 = 1, i1 = 4, j1 = 0
3, 1: T = 4.89791, lam = 0.382756, i0 = 3, j0 = 2, i1 = 4, j1 = 1
3, 2: T = 4.04804, lam = 0.432285, i0 = 3, j0 = 3, i1 = 4, j1 = 2
3, 3: T = 3.25244, lam = 0.5, i0 = 3, j0 = 4, i1 = 4, j1 = 3
3, 4: T = 2.54533, lam = 0.605848, i0 = 3, j0 = 5, i1 = 4, j1 = 4
3, 5: T = 2, i0 = 4, j0 = 5
3, 6: T = 2.54533, lam = 0.394152, i0 = 4, j0 = 6, i1 = 3, j1 = 5
3, 7: T = 3.25244, lam = 0.5, i0 = 4, j0 = 7, i1 = 3, j1 = 6
3, 8: T = 4.04804, lam = 0.567715, i0 = 4, j0 = 8, i1 = 3, j1 = 7
3, 9: T = 4.89791, lam = 0.617244, i0 = 4, j0 = 9, i1 = 3, j1 = 8
3, 10: T = 5.7834, lam = 0.655849, i0 = 4, j0 = 10, i1 = 3, j1 = 9
3, 11: T = 6.69347, lam = 0.687098, i0 = 4, j0 = 11, i1 = 3, j1 = 10
3, 12: T = 7.62117, lam = 0.713045, i0 = 4, j0 = 12, i1 = 3, j1 = 11
3, 13: T = 8.56189, lam = 0.734998, i0 = 4, j0 = 13, i1 = 3, j1 = 12
3, 14: T = 9.46599, lam = 0.67905, i0 = 4, j0 = 14, i1 = 3, j1 = 13
3, 15: T = 9.50139, lam = 0.629158, i0 = 3, j0 = 16, i1 = 4, j1 = 15
3, 16: T = 8.9936, lam = 0.676309, i0 = 3, j0 = 17, i1 = 4, j1 = 16
3, 17: T = 8.56189, lam = 0.734998, i0 = 3, j0 = 18, i1 = 4, j1 = 17
3, 18: T = 8.22271, lam = 0.814033, i0 = 3, j0 = 19, i1 = 4, j1 = 18
3, 19: T = 8, i0 = 4, j0 = 19
3, 20: T = 8.22271, lam = 0.185967, i0 = 4, j0 = 20, i1 = 3, j1 = 19
3, 21: T = 8.56189, lam = 0.265002, i0 = 4, j0 = 21, i1 = 3, j1 = 20
3, 22: T = 8.9936, lam = 0.323691, i0 = 4, j0 = 22, i1 = 3, j1 = 21
3, 23: T = 9.50139, lam = 0.370842, i0 = 4, j0 = 23, i1 = 3, j1 = 22
3, 24: T = 10.0725, lam = 0.410287, i0 = 4, j0 = 24, i1 = 3, j1 = 23
3, 25: T = 10.6967, lam = 0.44415, i0 = 4, j0 = 25, i1 = 3, j1 = 24
3, 26: T = 11.3658, lam = 0.473756, i0 = 4, j0 = 26, i1 = 3, j1 = 25
3, 27: T = 12.0729, lam = 0.5, i0 = 4, j0 = 27, i1 = 3, j1 = 26
3, 28: T = 12.8125, lam = 0.523512, i0 = 4, j0 = 28, i1 = 3, j1 = 27
3, 29: T = 13.5798, lam = 0.544756, i0 = 4, j0 = 29, i1 = 3, j1 = 28
3, 30: T = 14.3711, lam = 0.564087, i0 = 4, j0 = 30, i1 = 3, j1 = 29
4, 0: T = 5.31874, lam = 0.251656, i0 = 4, j0 = 1, i1 = 5, j1 = 0
4, 1: T = 4.3709, lam = 0.285403, i0 = 4, j0 = 2, i1 = 5, j1 = 1
4, 2: T = 3.44223, lam = 0.330237, i0 = 4, j0 = 3, i1 = 5, j1 = 2
4, 3: T = 2.54533, lam = 0.394152, i0 = 4, j0 = 4, i1 = 5, j1 = 3
4, 4: T = 1.70711, lam = 0.5, i0 = 4, j0 = 5, i1 = 5, j1 = 4
4, 5: T = 1, i0 = 5, j0 = 5
4, 6: T = 1.70711, lam = 0.5, i0 = 5, j0 = 6, i1 = 4, j1 = 5
4, 7: T = 2.54533, lam = 0.605848, i0 = 5, j0 = 7, i1 = 4, j1 = 6
4, 8: T = 3.44223, lam = 0.669763, i0 = 5, j0 = 8, i1 = 4, j1 = 7
4, 9: T = 4.3709, lam = 0.714597, i0 = 5, j0 = 9, i1 = 4, j1 = 8
4, 10: T = 5.31874, lam = 0.748344, i0 = 5, j0 = 10, i1 = 4, j1 = 9
4, 11: T = 6.27903, lam = 0.774853, i0 = 5, j0 = 11, i1 = 4, j1 = 10
4, 12: T = 7.24783, lam = 0.796298, i0 = 5, j0 = 12, i1 = 4, j1 = 11
4, 13: T = 8.22271, lam = 0.814033, i0 = 5, j0 = 13, i1 = 4, j1 = 12
4, 14: T = 9.03867, lam = 0.585307, i0 = 5, j0 = 14, i1 = 4, j1 = 13
4, 15: T = 8.6399, lam = 0.603991, i0 = 4, j0 = 16, i1 = 5, j1 = 15
4, 16: T = 8.09159, lam = 0.652274, i0 = 4, j0 = 17, i1 = 5, j1 = 16
4, 17: T = 7.62117, lam = 0.713045, i0 = 4, j0 = 18, i1 = 5, j1 = 17
4, 18: T = 7.24783, lam = 0.796298, i0 = 4, j0 = 19, i1 = 5, j1 = 18
4, 19: T = 7, i0 = 5, j0 = 19
4, 20: T = 7.24783, lam = 0.203702, i0 = 5, j0 = 20, i1 = 4, j1 = 19
4, 21: T = 7.62117, lam = 0.286955, i0 = 5, j0 = 21, i1 = 4, j1 = 20
4, 22: T = 8.09159, lam = 0.347726, i0 = 5, j0 = 22, i1 = 4, j1 = 21
4, 23: T = 8.6399, lam = 0.396009, i0 = 5, j0 = 23, i1 = 4, j1 = 22
4, 24: T = 9.25163, lam = 0.436077, i0 = 5, j0 = 24, i1 = 4, j1 = 23
4, 25: T = 9.91551, lam = 0.470263, i0 = 5, j0 = 25, i1 = 4, j1 = 24
4, 26: T = 10.6226, lam = 0.5, i0 = 5, j0 = 26, i1 = 4, j1 = 25
4, 27: T = 11.3658, lam = 0.526244, i0 = 5, j0 = 27, i1 = 4, j1 = 26
4, 28: T = 12.1393, lam = 0.549663, i0 = 5, j0 = 28, i1 = 4, j1 = 27
4, 29: T = 12.9385, lam = 0.570747, i0 = 5, j0 = 29, i1 = 4, j1 = 28
4, 30: T = 13.7596, lam = 0.589867, i0 = 5, j0 = 30, i1 = 4, j1 = 29
5, 0: T = 5, i0 = 5, j0 = 1
5, 1: T = 4, i0 = 5, j0 = 2
5, 2: T = 3, i0 = 5, j0 = 3
5, 3: T = 2, i0 = 5, j0 = 4
5, 4: T = 1, i0 = 5, j0 = 5
5, 5: T = 0
5, 6: T = 1, i0 = 5, j0 = 5
5, 7: T = 2, i0 = 5, j0 = 6
5, 8: T = 3, i0 = 5, j0 = 7
5, 9: T = 4, i0 = 5, j0 = 8
5, 10: T = 5, i0 = 5, j0 = 9
5, 11: T = 6, i0 = 5, j0 = 10
5, 12: T = 7, i0 = 5, j0 = 11
5, 13: T = 8, i0 = 5, j0 = 12
5, 14: T = 8.46056, lam = 0.53438, i0 = 5, j0 = 15, i1 = 6, j1 = 14
5, 15: T = 7.80363, lam = 0.57495, i0 = 5, j0 = 16, i1 = 6, j1 = 15
5, 16: T = 7.20916, lam = 0.624264, i0 = 5, j0 = 17, i1 = 6, j1 = 16
5, 17: T = 6.69347, lam = 0.687098, i0 = 5, j0 = 18, i1 = 6, j1 = 17
5, 18: T = 6.27903, lam = 0.774853, i0 = 5, j0 = 19, i1 = 6, j1 = 18
5, 19: T = 6, i0 = 6, j0 = 19
5, 20: T = 6.27903, lam = 0.225147, i0 = 6, j0 = 20, i1 = 5, j1 = 19
5, 21: T = 6.69347, lam = 0.312902, i0 = 6, j0 = 21, i1 = 5, j1 = 20
5, 22: T = 7.20916, lam = 0.375736, i0 = 6, j0 = 22, i1 = 5, j1 = 21
5, 23: T = 7.80363, lam = 0.42505, i0 = 6, j0 = 23, i1 = 5, j1 = 22
5, 24: T = 8.46056, lam = 0.46562, i0 = 6, j0 = 24, i1 = 5, j1 = 23
5, 25: T = 9.16767, lam = 0.5, i0 = 6, j0 = 25, i1 = 5, j1 = 24
5, 26: T = 9.91551, lam = 0.529737, i0 = 6, j0 = 26, i1 = 5, j1 = 25
5, 27: T = 10.6967, lam = 0.55585, i0 = 6, j0 = 27, i1 = 5, j1 = 26
5, 28: T = 11.5056, lam = 0.579048, i0 = 6, j0 = 28, i1 = 5, j1 = 27
5, 29: T = 12.3375, lam = 0.599844, i0 = 6, j0 = 29, i1 = 5, j1 = 28
5, 30: T = 13.1887, lam = 0.618629, i0 = 6, j0 = 30, i1 = 5, j1 = 29
6, 0: T = 5.31874, lam = 0.748344, i0 = 5, j0 = 0, i1 = 6, j1 = 1
6, 1: T = 4.3709, lam = 0.714597, i0 = 5, j0 = 1, i1 = 6, j1 = 2
6, 2: T = 3.44223, lam = 0.669763, i0 = 5, j0 = 2, i1 = 6, j1 = 3
6, 3: T = 2.54533, lam = 0.605848, i0 = 5, j0 = 3, i1 = 6, j1 = 4
6, 4: T = 1.70711, lam = 0.5, i0 = 5, j0 = 4, i1 = 6, j1 = 5
6, 5: T = 1, i0 = 5, j0 = 5
6, 6: T = 1.70711, lam = 0.5, i0 = 6, j0 = 5, i1 = 5, j1 = 6
6, 7: T = 2.54533, lam = 0.394152, i0 = 6, j0 = 6, i1 = 5, j1 = 7
6, 8: T = 3.44223, lam = 0.330237, i0 = 6, j0 = 7, i1 = 5, j1 = 8
6, 9: T = 4.3709, lam = 0.285403, i0 = 6, j0 = 8, i1 = 5, j1 = 9
6, 10: T = 5.31874, lam = 0.251656, i0 = 6, j0 = 9, i1 = 5, j1 = 10
6, 11: T = 6.27903, lam = 0.225147, i0 = 6, j0 = 10, i1 = 5, j1 = 11
6, 12: T = 7.24783, lam = 0.203702, i0 = 6, j0 = 11, i1 = 5, j1 = 12
6, 13: T = 8.17594, lam = 0.713698, i0 = 7, j0 = 13, i1 = 6, j1 = 12
6, 14: T = 7.70661, lam = 0.5, i0 = 6, j0 = 15, i1 = 7, j1 = 14
6, 15: T = 6.99951, lam = 0.540882, i0 = 6, j0 = 16, i1 = 7, j1 = 15
6, 16: T = 6.35238, lam = 0.591055, i0 = 6, j0 = 17, i1 = 7, j1 = 16
6, 17: T = 5.7834, lam = 0.655849, i0 = 6, j0 = 18, i1 = 7, j1 = 17
6, 18: T = 5.31874, lam = 0.748344, i0 = 6, j0 = 19, i1 = 7, j1 = 18
6, 19: T = 5, i0 = 7, j0 = 19
6, 20: T = 5.31874, lam = 0.251656, i0 = 7, j0 = 20, i1 = 6, j1 = 19
6, 21: T = 5.7834, lam = 0.344151, i0 = 7, j0 = 21, i1 = 6, j1 = 20
6, 22: T = 6.35238, lam = 0.408945, i0 = 7, j0 = 22, i1 = 6, j1 = 21
6, 23: T = 6.99951, lam = 0.459118, i0 = 7, j0 = 23, i1 = 6, j1 = 22
6, 24: T = 7.70661, lam = 0.5, i0 = 7, j0 = 24, i1 = 6, j1 = 23
6, 25: T = 8.46056, lam = 0.53438, i0 = 7, j0 = 25, i1 = 6, j1 = 24
6, 26: T = 9.25163, lam = 0.563923, i0 = 7, j0 = 26, i1 = 6, j1 = 25
6, 27: T = 10.0725, lam = 0.589713, i0 = 7, j0 = 27, i1 = 6, j1 = 26
6, 28: T = 10.9176, lam = 0.612499, i0 = 7, j0 = 28, i1 = 6, j1 = 27
6, 29: T = 11.7825, lam = 0.632823, i0 = 7, j0 = 29, i1 = 6, j1 = 28
6, 30: T = 12.6639, lam = 0.651092, i0 = 7, j0 = 30, i1 = 6, j1 = 29
7, 0: T = 5.7834, lam = 0.655849, i0 = 6, j0 = 0, i1 = 7, j1 = 1
7, 1: T = 4.89791, lam = 0.617244, i0 = 6, j0 = 1, i1 = 7, j1 = 2
7, 2: T = 4.04804, lam = 0.567715, i0 = 6, j0 = 2, i1 = 7, j1 = 3
7, 3: T = 3.25244, lam = 0.5, i0 = 6, j0 = 3, i1 = 7, j1 = 4
7, 4: T = 2.54533, lam = 0.394152, i0 = 6, j0 = 4, i1 = 7, j1 = 5
7, 5: T = 2, i0 = 6, j0 = 5
7, 6: T = 2.54533, lam = 0.605848, i0 = 7, j0 = 5, i1 = 6, j1 = 6
7, 7: T = 3.25244, lam = 0.5, i0 = 7, j0 = 6, i1 = 6, j1 = 7
7, 8: T = 4.04804, lam = 0.432285, i0 = 7, j0 = 7, i1 = 6, j1 = 8
7, 9: T = 4.89791, lam = 0.382756, i0 = 7, j0 = 8, i1 = 6, j1 = 9
7, 10: T = 5.7834, lam = 0.344151, i0 = 7, j0 = 9, i1 = 6, j1 = 10
7, 11: T = 6.69347, lam = 0.312902, i0 = 7, j0 = 10, i1 = 6, j1 = 11
7, 12: T = 7.62117, lam = 0.286955, i0 = 7, j0 = 11, i1 = 6, j1 = 12
7, 13: T = 7.80363, lam = 0.42505, i0 = 7, j0 = 14, i1 = 8, j1 = 13
7, 14: T = 6.99951, lam = 0.459118, i0 = 7, j0 = 15, i1 = 8, j1 = 14
7, 15: T = 6.23713, lam = 0.5, i0 = 7, j0 = 16, i1 = 8, j1 = 15
7, 16: T = 5.53002, lam = 0.550731, i0 = 7, j0 = 17, i1 = 8, j1 = 16
7, 17: T = 4.89791, lam = 0.617244, i0 = 7, j0 = 18, i1 = 8, j1 = 17
7, 18: T = 4.3709, lam = 0.714597, i0 = 7, j0 = 19, i1 = 8, j1 = 18
7, 19: T = 4, i0 = 8, j0 = 19
7, 20: T = 4.3709, lam = 0.285403, i0 = 8, j0 = 20, i1 = 7, j1 = 19
7, 21: T = 4.89791, lam = 0.382756, i0 = 8, j0 = 21, i1 = 7, j1 = 20
7, 22: T = 5.53002, lam = 0.449269, i0 = 8, j0 = 22, i1 = 7, j1 = 21
7, 23: T = 6.23713, lam = 0.5, i0 = 8, j0 = 23, i1 = 7, j1 = 22
7, 24: T = 6.99951, lam = 0.540882, i0 = 8, j0 = 24, i1 = 7, j1 = 23
7, 25: T = 7.80363, lam = 0.57495, i0 = 8, j0 = 25, i1 = 7, j1 = 24
7, 26: T = 8.6399, lam = 0.603991, i0 = 8, j0 = 26, i1 = 7, j1 = 25
7, 27: T = 9.50139, lam = 0.629158, i0 = 8, j0 = 27, i1 = 7, j1 = 26
7, 28: T = 10.3829, lam = 0.651241, i0 = 8, j0 = 28, i1 = 7, j1 = 27
7, 29: T = 11.2807, lam = 0.670812, i0 = 8, j0 = 29, i1 = 7, j1 = 28
7, 30: T = 12.1916, lam = 0.688298, i0 = 8, j0 = 30, i1 = 7, j1 = 29
8, 0: T = 6.35238, lam = 0.591055, i0 = 7, j0 = 0, i1 = 8, j1 = 1
8, 1: T = 5.53002, lam = 0.550731, i0 = 7, j0 = 1, i1 = 8, j1 = 2
8, 2: T = 4.75515, lam = 0.5, i0 = 7, j0 = 2, i1 = 8, j1 = 3
8, 3: T = 4.04804, lam = 0.432285, i0 = 7, j0 = 3, i1 = 8, j1 = 4
8, 4: T = 3.44223, lam = 0.330237, i0 = 7, j0 = 4, i1 = 8, j1 = 5
8, 5: T = 3, i0 = 7, j0 = 5
8, 6: T = 3.44223, lam = 0.669763, i0 = 8, j0 = 5, i1 = 7, j1 = 6
8, 7: T = 4.04804, lam = 0.567715, i0 = 8, j0 = 6, i1 = 7, j1 = 7
8, 8: T = 4.75515, lam = 0.5, i0 = 8, j0 = 7, i1 = 7, j1 = 8
8, 9: T = 5.53002, lam = 0.449269, i0 = 8, j0 = 8, i1 = 7, j1 = 9
8, 10: T = 6.35238, lam = 0.408945, i0 = 8, j0 = 9, i1 = 7, j1 = 10
8, 11: T = 7.20916, lam = 0.375736, i0 = 8, j0 = 10, i1 = 7, j1 = 11
8, 12: T = 8.09159, lam = 0.652274, i0 = 7, j0 = 12, i1 = 8, j1 = 13
8, 13: T = 7.20916, lam = 0.375736, i0 = 8, j0 = 14, i1 = 9, j1 = 13
8, 14: T = 6.35238, lam = 0.408945, i0 = 8, j0 = 15, i1 = 9, j1 = 14
8, 15: T = 5.53002, lam = 0.449269, i0 = 8, j0 = 16, i1 = 9, j1 = 15
8, 16: T = 4.75515, lam = 0.5, i0 = 8, j0 = 17, i1 = 9, j1 = 16
8, 17: T = 4.04804, lam = 0.567715, i0 = 8, j0 = 18, i1 = 9, j1 = 17
8, 18: T = 3.44223, lam = 0.669763, i0 = 8, j0 = 19, i1 = 9, j1 = 18
8, 19: T = 3, i0 = 9, j0 = 19
8, 20: T = 3.44223, lam = 0.330237, i0 = 9, j0 = 20, i1 = 8, j1 = 19
8, 21: T = 4.04804, lam = 0.432285, i0 = 9, j0 = 21, i1 = 8, j1 = 20
8, 22: T = 4.75515, lam = 0.5, i0 = 9, j0 = 22, i1 = 8, j1 = 21
8, 23: T = 5.53002, lam = 0.550731, i0 = 9, j0 = 23, i1 = 8, j1 = 22
8, 24: T = 6.35238, lam = 0.591055, i0 = 9, j0 = 24, i1 = 8, j1 = 23
8, 25: T = 7.20916, lam = 0.624264, i0 = 9, j0 = 25, i1 = 8, j1 = 24
8, 26: T = 8.09159, lam = 0.652274, i0 = 9, j0 = 26, i1 = 8, j1 = 25
8, 27: T = 8.9936, lam = 0.676309, i0 = 9, j0 = 27, i1 = 8, j1 = 26
8, 28: T = 9.91084, lam = 0.697209, i0 = 9, j0 = 28, i1 = 8, j1 = 27
8, 29: T = 10.8401, lam = 0.715574, i0 = 9, j0 = 29, i1 = 8, j1 = 28
8, 30: T = 11.7791, lam = 0.731854, i0 = 9, j0 = 30, i1 = 8, j1 = 29
9, 0: T = 6.99951, lam = 0.540882, i0 = 8, j0 = 0, i1 = 9, j1 = 1
9, 1: T = 6.23713, lam = 0.5, i0 = 8, j0 = 1, i1 = 9, j1 = 2
9, 2: T = 5.53002, lam = 0.449269, i0 = 8, j0 = 2, i1 = 9, j1 = 3
9, 3: T = 4.89791, lam = 0.382756, i0 = 8, j0 = 3, i1 = 9, j1 = 4
9, 4: T = 4.3709, lam = 0.285403, i0 = 8, j0 = 4, i1 = 9, j1 = 5
9, 5: T = 4, i0 = 8, j0 = 5
9, 6: T = 4.3709, lam = 0.714597, i0 = 9, j0 = 5, i1 = 8, j1 = 6
9, 7: T = 4.89791, lam = 0.617244, i0 = 9, j0 = 6, i1 = 8, j1 = 7
9, 8: T = 5.53002, lam = 0.550731, i0 = 9, j0 = 7, i1 = 8, j1 = 8
9, 9: T = 6.23713, lam = 0.5, i0 = 9, j0 = 8, i1 = 8, j1 = 9
9, 10: T = 6.99951, lam = 0.459118, i0 = 9, j0 = 9, i1 = 8, j1 = 10
9, 11: T = 7.80363, lam = 0.42505, i0 = 9, j0 = 10, i1 = 8, j1 = 11
9, 12: T = 7.62117, lam = 0.286955, i0 = 9, j0 = 13, i1 = 10, j1 = 12
9, 13: T = 6.69347, lam = 0.312902, i0 = 9, j0 = 14, i1 = 10, j1 = 13
9, 14: T = 5.7834, lam = 0.344151, i0 = 9, j0 = 15, i1 = 10, j1 = 14
9, 15: T = 4.89791, lam = 0.382756, i0 = 9, j0 = 16, i1 = 10, j1 = 15
9, 16: T = 4.04804, lam = 0.432285, i0 = 9, j0 = 17, i1 = 10, j1 = 16
9, 17: T = 3.25244, lam = 0.5, i0 = 9, j0 = 18, i1 = 10, j1 = 17
